a | ARTICLE
the | ARTICLE
up | PREPOSITION
down | PREPOSITION
ace | ADJECTIVE 
aft | ADJECTIVE 
ain | ADJECTIVE 
all | ADJECTIVE 
alt | ADJECTIVE 
anal | ADJECTIVE 
ane | ADJECTIVE 
ant | ADJECTIVE 
apt | ADJECTIVE 
arch | ADJECTIVE 
arched | ADJECTIVE 
auld | ADJECTIVE 
awed | ADJECTIVE 
backed | ADJECTIVE 
baked | ADJECTIVE 
barbed | ADJECTIVE 
bare | ADJECTIVE 
barred | ADJECTIVE 
bats | ADJECTIVE 
beaut | ADJECTIVE 
beige | ADJECTIVE 
bent | ADJECTIVE 
birch | ADJECTIVE 
birk | ADJECTIVE 
bit | ADJECTIVE 
blae | ADJECTIVE 
blah | ADJECTIVE 
blame | ADJECTIVE 
blamed | ADJECTIVE 
bland | ADJECTIVE 
blate | ADJECTIVE 
bleak | ADJECTIVE 
blear | ADJECTIVE 
blest | ADJECTIVE 
blocked | ADJECTIVE 
blond | ADJECTIVE 
blonde | ADJECTIVE 
bloomed | ADJECTIVE 
blown | ADJECTIVE 
blowzed | ADJECTIVE 
bluff | ADJECTIVE 
blunt | ADJECTIVE 
bobs | ADJECTIVE 
boiled | ADJECTIVE 
bold | ADJECTIVE 
boned | ADJECTIVE 
boon | ADJECTIVE 
both | ADJECTIVE 
bought | ADJECTIVE 
boulle | ADJECTIVE 
bound | ADJECTIVE 
brag | ADJECTIVE 
brash | ADJECTIVE 
brave | ADJECTIVE 
braw | ADJECTIVE 
brief | ADJECTIVE 
brisk | ADJECTIVE 
broch | ADJECTIVE 
broke | ADJECTIVE 
brood | ADJECTIVE 
brushed | ADJECTIVE 
brusque | ADJECTIVE 
brute | ADJECTIVE 
bucked | ADJECTIVE 
buff | ADJECTIVE 
bugs | ADJECTIVE 
built | ADJECTIVE 
bum | ADJECTIVE 
bung | ADJECTIVE 
burned | ADJECTIVE 
burred | ADJECTIVE 
burst | ADJECTIVE 
bushed | ADJECTIVE 
bust | ADJECTIVE 
bye | ADJECTIVE 
calced | ADJECTIVE 
calm | ADJECTIVE 
canned | ADJECTIVE 
cauld | ADJECTIVE 
chance | ADJECTIVE 
charged | ADJECTIVE 
chaste | ADJECTIVE 
cheap | ADJECTIVE 
checked | ADJECTIVE 
cheek | ADJECTIVE 
cheesed | ADJECTIVE 
chic | ADJECTIVE 
chill | ADJECTIVE 
chirk | ADJECTIVE 
choice | ADJECTIVE 
clad | ADJECTIVE 
clean | ADJECTIVE 
clipped | ADJECTIVE 
coarse | ADJECTIVE 
cool | ADJECTIVE 
corked | ADJECTIVE 
corned | ADJECTIVE 
couped | ADJECTIVE 
coursed | ADJECTIVE 
couth | ADJECTIVE 
cowled | ADJECTIVE 
crack | ADJECTIVE 
cracked | ADJECTIVE 
cramped | ADJECTIVE 
crank | ADJECTIVE 
crass | ADJECTIVE 
crazed | ADJECTIVE 
creole | ADJECTIVE 
crined | ADJECTIVE 
crisp | ADJECTIVE 
crocked | ADJECTIVE 
cronk | ADJECTIVE 
crook | ADJECTIVE 
crossed | ADJECTIVE 
crowned | ADJECTIVE 
